,message,label
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0
1,Oh k...i'm watching here:),0
2,Is that seriously how you spell his name?,0
3,Ffffffffff. Alright no way I can meet up with you sooner?,0
4,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0
5,K tell me anything about you.,0
6,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0
7,"Oops, I'll let you know when my roommate's done",0
8,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1
9,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1
10,"Sorry my roommates took forever, it ok if I come by now?",0
11,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1
12,Wah lucky man... Then can save money... Hee...,0
13,U can call me now...,0
14,Ok i am on the way to home hi hi,0
15,You will be in the place of that man,0
16,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0
17,I'm really not up to it still tonight babe,0
18,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",0
19,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
20,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0
21,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0
22,Dont worry. I guess he's busy.,0
23,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1
24,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0
25,I am going to sao mu today. Will be done only at 12 ,0
26,ÌÏ predict wat time Ì_'ll finish buying?,0
