,error,hepothes,true
0,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Ã¥Â£1.50 to rcv",tensor([0.]),1
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",tensor([0.]),1
2,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,tensor([0.]),1
3,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",tensor([0.]),1
4,Yup next stop.,tensor([1.]),0
5,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,tensor([0.]),1
6,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,tensor([0.]),1
7,You are a winner U have been specially selected 2 receive Ã¥Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,tensor([0.]),1
8,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,tensor([1.]),0
9,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,tensor([1.]),0
10,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,tensor([0.]),1
11,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",tensor([0.]),1
12,"Think ur smart ? Win Ã¥Â£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",tensor([0.]),1
13,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,tensor([0.]),1
14,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,tensor([0.]),1
15,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,tensor([0.]),1
16,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",tensor([0.]),1
17,100 dating service cal;l 09064012103 box334sk38ch,tensor([0.]),1
18,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,tensor([0.]),1
19,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,tensor([0.]),1
20,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,tensor([0.]),1
21,Are you free now?can i call now?,tensor([1.]),0
22,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,tensor([0.]),1
23,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",tensor([1.]),0
24,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,tensor([0.]),1
25,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,tensor([0.]),1
26,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",tensor([1.]),0
27,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,tensor([0.]),1
28,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,tensor([1.]),0
29,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,tensor([0.]),1
30,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,tensor([0.]),1
31,Todays Vodafone numbers ending with 4882 are selected to a receive a Ã¥Â£350 award. If your number matches call 09064019014 to receive your Ã¥Â£350 award.,tensor([0.]),1
32,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",tensor([1.]),0
33,88800 and 89034 are premium phone services call 08718711108,tensor([0.]),1
34,SMS. ac sun0819 posts HELLO:\You seem cool,tensor([0.]),1
