,message,label
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1
2,U dun say so early hor... U c already then say...,0
3,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",1
4,Even my brother is not like to speak with me. They treat me like aids patent.,0
5,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
6,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1
7,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1
8,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0
9,I HAVE A DATE ON SUNDAY WITH WILL!!,0
10,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1
11,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0
12,Fine if thatå_s the way u feel. Thatå_s the way its gota b,0
13,So __ pay first lar... Then when is da stock comin...,0
14,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0
15,Lol your always so convincing.,0
16,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0
17,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0
18,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0
19,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1
20,I see the letter B on my car,0
21,Anything lor... U decide...,0
22,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0
23,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0
24,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0
25,WHO ARE YOU SEEING?,0
26,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0
27,No calls..messages..missed calls,0
28,Didn't you get hep b immunisation in nigeria.,0
29,"Fair enough, anything going on?",0
30,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0
31,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0
32,What you thinked about me. First time you saw me in class.,0
33,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0
34,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0
35,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0
36,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1
37,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0
38,"Sorry, I'll call later in meeting.",0
39,Tell where you reached,0
40,Yes..gauti and sehwag out of odi series.,0
41,Ha ha ha good joke. Girls are situation seekers.,0
42,Its a part of checking IQ,0
43,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1
44,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0
45,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",1
46,Finished class where are you.,0
47,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0
48,K..k:)where are you?how did you performed?,0
49,Thats cool. i am a gentleman and will treat you with dignity and respect.,0
50,I like you peoples very much:) but am very shy pa.,0
51,Does not operate after  &lt;#&gt;  or what,0
52,"Sorry, I'll call later",0
53,K. Did you call me just now ah? ,0
54,Yup next stop.,0
55,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0
56,"Ela kano.,il download, come wen ur free..",0
57,Yeah do! Don__÷t stand to close tho- you__÷ll catch something!,0
58,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0
59,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1
60,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0
61,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1
62,Watching telugu movie..wat abt u?,0
63,i see. When we finish we have loads of loans to pay,0
64,Please don't text me anymore. I have nothing else to say.,0
65,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0
66,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0
67,How would my ip address test that considering my computer isn't a minecraft server,0
68,What is the plural of the noun research?,0
69,Going for dinner.msg you after.,0
70,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1
71,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0
72,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0
73,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0
74,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1
75,here is my new address -apples&pairs&all that malarky,0
76,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1
77,"Good stuff, will do.",0
78,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0
79,Are you there in room.,0
80,K..k:)how much does it cost?,0
81,"Dear, will call Tmorrow.pls accomodate.",0
82,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1
83,He is there. You call and meet him,0
84,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1
85,"K, text me when you're on the way",0
86,"Sir, Waiting for your mail.",0
87,I know you are. Can you pls open the back?,0
88,Whats the staff name who is taking class for us?,0
89,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0
90,Ok... Ur typical reply...,0
91,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0
92,I'm leaving my house now...,0
93,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0
94,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1
95,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0
96,New car and house for my parents.:)i have only new job in hand:),0
97,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0
98,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1
99,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1
100,I place all ur points on e cultures module already.,0
101,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1
102,Yes :)it completely in out of form:)clark also utter waste.,0
103,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",0
104,What time you coming down later? ,0
105,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0
106,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0
107,Lol no. U can trust me.,0
108,"He will, you guys close?",0
109,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1
110,Have you got Xmas radio times. If not i will get it now,0
111,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0
112,Hi :)finally i completed the course:),0
113,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0
114,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0
